year,avg_temp,temp
1849,,7.98
1850,,7.9
1851,,8.18
1852,,8.1
1853,8.04,8.04
1854,8.086,8.21
1855,8.128,8.11
1856,8.092,8
1857,8.024,7.76
1858,8.036,8.1
1859,8.044,8.25
1860,8.014,7.96
1861,7.984,7.85
1862,7.944,7.56
1863,7.946,8.11
1864,7.892,7.98
1865,7.936,8.18
1866,8.024,8.29
1867,8.2,8.44
1868,8.228,8.25
1869,8.318,8.43
1870,8.322,8.2
1871,8.288,8.12
1872,8.238,8.19
1873,8.258,8.35
1874,8.258,8.43
1875,8.19,7.86
1876,8.182,8.08
1877,8.252,8.54
1878,8.348,8.83
1879,8.296,8.17
1880,8.348,8.12
1881,8.386,8.27
1882,8.304,8.13
1883,8.134,7.98
1884,8.054,7.77
1885,8.014,7.92
1886,7.95,7.95
1887,7.906,7.91
1888,7.928,8.09
1889,8.038,8.32
1890,8.048,7.97
1891,8.062,8.02
1892,8.094,8.07
1893,8.088,8.06
1894,8.056,8.16
1895,8.092,8.15
1896,8.13,8.21
1897,8.174,8.29
1898,8.198,8.18
1899,8.246,8.4
1900,8.316,8.5
1901,8.382,8.54
1902,8.384,8.3
1903,8.392,8.22
1904,8.33,8.09
1905,8.276,8.23
1906,8.244,8.38
1907,8.174,7.95
1908,8.168,8.19
1909,8.186,8.18
1910,8.184,8.22
1911,8.144,8.18
1912,8.188,8.17
1913,8.21,8.3
1914,8.292,8.59
1915,8.366,8.59
1916,8.376,8.23
1917,8.346,8.02
1918,8.312,8.13
1919,8.27,8.38
1920,8.224,8.36
1921,8.292,8.57
1922,8.37,8.41
1923,8.428,8.42
1924,8.454,8.51
1925,8.488,8.53
1926,8.52,8.73
1927,8.542,8.52
1928,8.584,8.63
1929,8.53,8.24
1930,8.55,8.63
1931,8.548,8.72
1932,8.586,8.71
1933,8.528,8.34
1934,8.606,8.63
1935,8.584,8.52
1936,8.55,8.55
1937,8.548,8.7
1938,8.652,8.86
1939,8.678,8.76
1940,8.726,8.76
1941,8.77,8.77
1942,8.776,8.73
1943,8.756,8.76
1944,8.774,8.85
1945,8.738,8.58
1946,8.72,8.68
1947,8.734,8.8
1948,8.732,8.75
1949,8.68,8.59
1950,8.638,8.37
1951,8.628,8.63
1952,8.596,8.64
1953,8.62,8.87
1954,8.614,8.56
1955,8.666,8.63
1956,8.596,8.28
1957,8.614,8.73
1958,8.594,8.77
1959,8.628,8.73
1960,8.618,8.58
1961,8.722,8.8
1962,8.726,8.75
1963,8.744,8.86
1964,8.68,8.41
1965,8.67,8.53
1966,8.63,8.6
1967,8.62,8.7
1968,8.552,8.52
1969,8.59,8.6
1970,8.624,8.7
1971,8.624,8.6
1972,8.584,8.5
1973,8.67,8.95
1974,8.644,8.47
1975,8.652,8.74
1976,8.602,8.35
1977,8.672,8.85
1978,8.62,8.69
1979,8.672,8.73
1980,8.72,8.98
1981,8.884,9.17
1982,8.842,8.64
1983,8.91,9.03
1984,8.902,8.69
1985,8.838,8.66
1986,8.77,8.83
1987,8.84,8.99
1988,8.874,9.2
1989,8.92,8.92
1990,9.034,9.23
1991,9.104,9.18
1992,9.074,8.84
1993,9.008,8.87
1994,9.032,9.04
1995,9.056,9.35
1996,9.028,9.04
1997,9.1,9.2
1998,9.23,9.52
1999,9.28,9.29
2000,9.25,9.2
2001,9.324,9.41
2002,9.398,9.57
2003,9.4,9.53
2004,9.406,9.32
2005,9.506,9.7
2006,9.53,9.53
2007,9.562,9.73
2008,9.542,9.43
2009,9.58,9.51
2010,9.58,9.7
2011,9.578,9.52
2012,9.534,9.51
2013,9.57,9.61
2014,9.582,9.57
2015,9.608,9.83
